mu,l0,l1,l2
4.545454545454545858e+00,1.000000000000000000e+00,7.545454545454545858e+00,9.545454545454546746e+00
4.606060606060606410e+00,1.000000000000000000e+00,7.606060606060606410e+00,9.606060606060605522e+00
4.666666666666666963e+00,1.000000000000000000e+00,7.666666666666666963e+00,9.666666666666667851e+00
4.727272727272727515e+00,1.000000000000000000e+00,7.727272727272727515e+00,9.727272727272726627e+00
4.787878787878788067e+00,1.000000000000000000e+00,7.787878787878788067e+00,9.787878787878788955e+00
4.848484848484848619e+00,1.000000000000000000e+00,7.848484848484848619e+00,9.848484848484847731e+00
4.909090909090909172e+00,1.000000000000000000e+00,7.909090909090909172e+00,9.909090909090910060e+00
4.969696969696969724e+00,1.000000000000000000e+00,7.969696969696969724e+00,9.969696969696968836e+00
5.030303030303030276e+00,1.000000000000000000e+00,8.030303030303031164e+00,1.003030303030303116e+01
5.090909090909090828e+00,1.000000000000000000e+00,8.090909090909089940e+00,1.009090909090908994e+01
5.151515151515151381e+00,1.000000000000000000e+00,8.151515151515152269e+00,1.015151515151515227e+01
5.212121212121211933e+00,1.000000000000000000e+00,8.212121212121211045e+00,1.021212121212121104e+01
5.272727272727272485e+00,1.000000000000000000e+00,8.272727272727273373e+00,1.027272727272727337e+01
5.333333333333333925e+00,1.000000000000000000e+00,8.333333333333333925e+00,1.033333333333333393e+01
5.393939393939394478e+00,1.000000000000000000e+00,8.393939393939394478e+00,1.039393939393939448e+01
5.454545454545455030e+00,1.000000000000000000e+00,8.454545454545455030e+00,1.045454545454545503e+01
5.515151515151515582e+00,1.000000000000000000e+00,8.515151515151515582e+00,1.051515151515151558e+01
5.575757575757576134e+00,1.000000000000000000e+00,8.575757575757576134e+00,1.057575757575757613e+01
5.636363636363636687e+00,1.000000000000000000e+00,8.636363636363636687e+00,1.063636363636363669e+01
5.696969696969697239e+00,1.000000000000000000e+00,8.696969696969697239e+00,1.069696969696969724e+01
5.757575757575757791e+00,1.000000000000000000e+00,8.757575757575757791e+00,1.075757575757575779e+01
5.818181818181818343e+00,1.000000000000000000e+00,8.818181818181818343e+00,1.081818181818181834e+01
5.878787878787878896e+00,1.000000000000000000e+00,8.878787878787878896e+00,1.087878787878787890e+01
5.939393939393939448e+00,1.000000000000000000e+00,8.939393939393939448e+00,1.093939393939393945e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01
